date_started,date_ended,declaration_type,disaster_type,disaster_title,days_lasted,county,county_fip,state,state_abbr,division_name,region_name,latitude,longitude
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Howard County,IN-067,Indiana,IN,East North Central,Midwest,40.4482767,-86.1344697
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Grant County,IN-053,Indiana,IN,East North Central,Midwest,40.4730605,-85.684578
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Wells County,IN-179,Indiana,IN,East North Central,Midwest,40.7778348,-85.1894045
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Clinton County,IN-023,Indiana,IN,East North Central,Midwest,40.3376924,-86.4996546
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Starke County,IN-149,Indiana,IN,East North Central,Midwest,41.2715616,-86.6207943
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Montgomery County,IN-107,Indiana,IN,East North Central,Midwest,40.019879,-86.8220341
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Boone County,IN-011,Indiana,IN,East North Central,Midwest,40.0106163,-86.4996546
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Hamilton County,IN-057,Indiana,IN,East North Central,Midwest,40.0372797,-86.0529604
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,LaGrange County,IN-087,Indiana,IN,East North Central,Midwest,41.6288702,-85.3962769
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Cass County,IN-017,Indiana,IN,East North Central,Midwest,40.8199089,-86.3376761
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,St. Joseph County,IN-141,Indiana,IN,East North Central,Midwest,41.6228085,-86.3376761
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Blackford County,IN-009,Indiana,IN,East North Central,Midwest,40.4992784,-85.3136218
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Marshall County,IN-099,Indiana,IN,East North Central,Midwest,41.303028,-86.3376761
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,LaPorte County,IN-091,Indiana,IN,East North Central,Midwest,41.4775131,-86.8220341
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Adams County,IN-001,Indiana,IN,East North Central,Midwest,40.7249237,-84.8984775
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Elkhart County,IN-039,Indiana,IN,East North Central,Midwest,41.6062253,-85.8486236
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Steuben County,IN-151,Indiana,IN,East North Central,Midwest,41.6115471,-84.981754
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Barry County,MI-015,Michigan,MI,East North Central,Midwest,42.5354321,-85.354965
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Hillsdale County,MI-059,Michigan,MI,East North Central,Midwest,41.8685961,-84.5222189
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Allegan County,MI-005,Michigan,MI,East North Central,Midwest,42.5938744,-85.9084434
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Bay County,MI-017,Michigan,MI,East North Central,Midwest,43.7109732,-84.0167423
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Gratiot County,MI-057,Michigan,MI,East North Central,Midwest,43.2836505,-84.6897495
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Clinton County,MI-037,Michigan,MI,East North Central,Midwest,42.9663458,-84.5222189
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Eaton County,MI-045,Michigan,MI,East North Central,Midwest,42.5886496,-84.7733325
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Branch County,MI-023,Michigan,MI,East North Central,Midwest,41.8913835,-85.023346
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Kalamazoo County,MI-077,Michigan,MI,East North Central,Midwest,42.2278346,-85.520024
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Kent County,MI-081,Michigan,MI,East North Central,Midwest,43.0097027,-85.520024
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Lenawee County,MI-091,Michigan,MI,East North Central,Midwest,41.8433859,-84.0167423
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Monroe County,MI-115,Michigan,MI,East North Central,Midwest,41.9738893,-83.5070203
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Ottawa County,MI-139,Michigan,MI,East North Central,Midwest,42.953023,-86.0937312
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Montcalm County,MI-117,Michigan,MI,East North Central,Midwest,43.3057341,-85.1894045
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Washtenaw County,MI-161,Michigan,MI,East North Central,Midwest,42.3076493,-83.8473015
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Shiawassee County,MI-155,Michigan,MI,East North Central,Midwest,42.949754,-84.1857115
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Seneca County,OH-147,Ohio,OH,East North Central,Midwest,41.1585179,-83.1649001
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Delaware County,OH-041,Ohio,OH,East North Central,Midwest,40.3033098,-83.0361376
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Hancock County,OH-063,Ohio,OH,East North Central,Midwest,41.0273131,-83.6773928
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Shelby County,OH-149,Ohio,OH,East North Central,Midwest,40.3689335,-84.2278796
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Van Wert County,OH-161,Ohio,OH,East North Central,Midwest,40.871234,-84.564147
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Harrison County,OH-067,Ohio,OH,East North Central,Midwest,40.3340479,-81.1196075
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Highland County,OH-071,Ohio,OH,East North Central,Midwest,39.2228606,-83.5070203
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Lucas County,OH-095,Ohio,OH,East North Central,Midwest,41.6894388,-83.3789389
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Lorain County,OH-093,Ohio,OH,East North Central,Midwest,41.4116881,-82.12784
