,latlon,count,lon,lat
0,"('-118.018609', '34.655456')",1,-118.018609,34.655456
1,"('-82.3772222', '38.4369444')",3,-82.3772222,38.4369444
2,"('-98.2019444', '32.2205556')",9,-98.2019444,32.2205556
3,"('-110.9658333', '32.3908333')",4,-110.9658333,32.3908333
4,"('-72.5219444', '41.7758333')",18,-72.5219444,41.7758333
5,"('-73.0511111', '40.7383333')",1,-73.0511111,40.7383333
6,"('-90.2719444', '34.2563889')",1,-90.2719444,34.2563889
7,"('-90.1977778', '38.6272222')",148,-90.1977778,38.6272222
8,"('-75.0252778', '39.5463889')",1,-75.0252778,39.5463889
9,"('-94.6458333', '46.3366667')",1,-94.6458333,46.3366667
10,"('-95.25579', '29.84146')",1,-95.25579,29.84146
11,"('-97.0025', '31.1352778')",1,-97.0025,31.1352778
12,"('-89.63', '44.9591667')",4,-89.63,44.9591667
13,"('-119.125912', '36.289762')",1,-119.125912,36.289762
14,"('-120.933129', '35.748722')",1,-120.933129,35.748722
15,"('-82.0241667', '34.175')",1,-82.0241667,34.175
16,"('27.95877', '-26.15835')",1,27.95877,-26.15835
17,"('-84.8522222', '34.2447222')",1,-84.8522222,34.2447222
18,"('-86.2005556', '42.6433333')",2,-86.2005556,42.6433333
19,"('-112.1902778', '35.2494444')",2,-112.1902778,35.2494444
20,"('-75.082115', '40.296218')",1,-75.082115,40.296218
21,"('-98.0013889', '41.1158333')",1,-98.0013889,41.1158333
22,"('-92.995', '44.9530556')",1,-92.995,44.9530556
23,"('-76.8025', '42.9911111')",2,-76.8025,42.9911111
24,"('-87.4397222', '35.0777778')",1,-87.4397222,35.0777778
25,"('-121.0802778', '45.1752778')",2,-121.0802778,45.1752778
26,"('-88.1530556', '36.2491667')",1,-88.1530556,36.2491667
27,"('-80.1225', '25.9647222')",1,-80.1225,25.9647222
28,"('18.442441', '-34.076662')",1,18.442441,-34.076662
29,"('-122.2041667', '47.7625')",46,-122.2041667,47.7625
30,"('-92.4888889', '34.5958333')",5,-92.4888889,34.5958333
31,"('-90.0777778', '31.9722222')",1,-90.0777778,31.9722222
32,"('-90.4097222', '37.3033333')",1,-90.4097222,37.3033333
33,"('-72.2402778', '42.2597222')",2,-72.2402778,42.2597222
34,"('-90.8180556', '46.8108333')",5,-90.8180556,46.8108333
35,"('-97.674484', '38.573618')",2,-97.674484,38.573618
36,"('-87.2625', '40.1130556')",2,-87.2625,40.1130556
37,"('-73.0894444', '40.6588889')",1,-73.0894444,40.6588889
38,"('-122.2405556', '37.7652778')",13,-122.2405556,37.7652778
39,"('-119.5027778', '43.5416667')",1,-119.5027778,43.5416667
40,"('-91.0247222', '29.9402778')",4,-91.0247222,29.9402778
41,"('-116.6011111', '33.0786111')",3,-116.6011111,33.0786111
42,"('-87.3191667', '32.6322222')",1,-87.3191667,32.6322222
43,"('-83.735', '39.6580556')",2,-83.735,39.6580556
44,"('-71.4677778', '43.2855556')",1,-71.4677778,43.2855556
45,"('-82.2422222', '31.3058333')",3,-82.2422222,31.3058333
46,"('-96.1086111', '36.1397222')",7,-96.1086111,36.1397222
47,"('-90.7808333', '39.1666667')",2,-90.7808333,39.1666667
48,"('-93.1188889', '47.0530556')",1,-93.1188889,47.0530556
49,"('-77.0233333', '40.3980556')",3,-77.0233333,40.3980556
50,"('-92.678509', '44.725582')",2,-92.678509,44.725582
51,"('-75.273682', '44.505082')",1,-75.273682,44.505082
52,"('-122.2347222', '40.1786111')",11,-122.2347222,40.1786111
53,"('-98.4933333', '29.4238889')",166,-98.4933333,29.4238889
54,"('-98.0027778', '46.9233333')",1,-98.0027778,46.9233333
55,"('-108.7283333', '39.1588889')",5,-108.7283333,39.1588889
56,"('-73.34729', '42.775469')",1,-73.34729,42.775469
57,"('-94.3372222', '32.1572222')",5,-94.3372222,32.1572222
58,"('-96.1438889', '31.3613889')",1,-96.1438889,31.3613889
59,"('-102.8922222', '31.5941667')",1,-102.8922222,31.5941667
60,"('-123.7983333', '39.3077778')",1,-123.7983333,39.3077778
61,"('-106.8652778', '33.9177778')",1,-106.8652778,33.9177778
62,"('-81.1477778', '36.1583333')",5,-81.1477778,36.1583333
63,"('-86.8641667', '33.1005556')",1,-86.8641667,33.1005556
64,"('-74.1872222', '41.3305556')",6,-74.1872222,41.3305556
65,"('-82.2377778', '37.7741667')",1,-82.2377778,37.7741667
66,"('-88.090081', '42.371688')",1,-88.090081,42.371688
67,"('-81.115', '37.6169444')",1,-81.115,37.6169444
68,"('-68.7619444', '44.7966667')",2,-68.7619444,44.7966667
69,"('-82.8113889', '27.8083333')",1,-82.8113889,27.8083333
70,"('-86.6030556', '41.0513889')",1,-86.6030556,41.0513889
71,"('-73.630073', '43.044848')",4,-73.630073,43.044848
72,"('-89.81', '35.0866667')",5,-89.81,35.0866667
73,"('-70.8333333', '43.0361111')",2,-70.8333333,43.0361111
74,"('-120.9316667', '38.3527778')",1,-120.9316667,38.3527778
75,"('-73.7977778', '41.1922222')",1,-73.7977778,41.1922222
76,"('-86.7138889', '36.2561111')",2,-86.7138889,36.2561111
77,"('-97.9313889', '35.8613889')",3,-97.9313889,35.8613889
78,"('-87.8780556', '41.7827778')",3,-87.8780556,41.7827778
79,"('-86.39027', '35.845621')",2,-86.39027,35.845621
80,"('-95.845', '46.8172222')",3,-95.845,46.8172222
81,"('-76.143592', '40.5934')",1,-76.143592,40.5934
82,"('-83.2261111', '35.3736111')",2,-83.2261111,35.3736111
83,"('-122.2313889', '40.6408333')",2,-122.2313889,40.6408333
84,"('-76.6505556', '40.2858333')",6,-76.6505556,40.2858333
85,"('-112.038746', '46.600806')",1,-112.038746,46.600806
86,"('-93.7175', '44.9383333')",1,-93.7175,44.9383333
87,"('-95.6825', '46.0041667')",1,-95.6825,46.0041667
88,"('-82.4905556', '27.1958333')",4,-82.4905556,27.1958333
89,"('-120.0969444', '37.4325')",1,-120.0969444,37.4325
90,"('-111.3702778', '44.4244444')",1,-111.3702778,44.4244444
91,"('-83.7341667', '43.1775')",4,-83.7341667,43.1775
92,"('-80.1275', '26.0966667')",1,-80.1275,26.0966667
93,"('-122.9516667', '44.8433333')",1,-122.9516667,44.8433333
94,"('-99.4375', '44.0686111')",1,-99.4375,44.0686111
95,"('-76.3622222', '38.0888889')",1,-76.3622222,38.0888889
96,"('-87.9888889', '41.8897222')",4,-87.9888889,41.8897222
97,"('-92.5211111', '34.5555556')",3,-92.5211111,34.5555556
98,"('-100.499521', '28.709143')",1,-100.499521,28.709143
99,"('-113.6138889', '33.7811111')",2,-113.6138889,33.7811111
100,"('-97.4055556', '34.8172222')",3,-97.4055556,34.8172222
101,"('-104.0833333', '39.1416667')",2,-104.0833333,39.1416667
102,"('-91.7438889', '45.4086111')",1,-91.7438889,45.4086111
103,"('-75.6538889', '37.7819444')",1,-75.6538889,37.7819444
104,"('-80.148379', '25.981202')",7,-80.148379,25.981202
105,"('-86.549854', '36.042343')",3,-86.549854,36.042343
106,"('-71.8816667', '41.4408333')",2,-71.8816667,41.4408333
107,"('-111.949257', '33.634991')",1,-111.949257,33.634991
108,"('-111.9141667', '43.6725')",2,-111.9141667,43.6725
109,"('-88.968399', '40.147952')",1,-88.968399,40.147952
110,"('-94.19234', '44.057325')",1,-94.19234,44.057325
111,"('-82.9533333', '34.6855556')",2,-82.9533333,34.6855556
